locus_tag,gene,product,bp_length
BINCMBPP_01038,rsmB_1,Ribosomal RNA small subunit methyltransferase B,1368
BINCMBPP_01039,fzlC,FtsZ-localized protein C,1734
BINCMBPP_01040,,hypothetical protein,153
BINCMBPP_01041,purH,Bifunctional purine biosynthesis protein PurH,1620
BINCMBPP_01042,,hypothetical protein,783
BINCMBPP_01043,rpmB,50S ribosomal protein L28,318
BINCMBPP_01044,yhhQ,Queuosine precursor transporter,684
BINCMBPP_01045,,hypothetical protein,234
BINCMBPP_01046,,hypothetical protein,183
BINCMBPP_01047,,hypothetical protein,231
BINCMBPP_01048,cobT,Aerobic cobaltochelatase subunit CobT,1893
BINCMBPP_01049,cobS,Aerobic cobaltochelatase subunit CobS,981
BINCMBPP_01050,dnaJ_2,Chaperone protein DnaJ,621
BINCMBPP_01051,bolA,DNA-binding transcriptional regulator BolA,273
BINCMBPP_01052,xerD_2,Tyrosine recombinase XerD,969
BINCMBPP_01053,,hypothetical protein,822
BINCMBPP_01054,rimM,Ribosome maturation factor RimM,546
BINCMBPP_01055,trmD,tRNA (guanine-N(1)-)-methyltransferase,699
BINCMBPP_01056,rplS,50S ribosomal protein L19,441
BINCMBPP_01057,,hypothetical protein,258
BINCMBPP_01058,,hypothetical protein,402
BINCMBPP_01059,,hypothetical protein,387
BINCMBPP_01060,sdhA,Succinate dehydrogenase flavoprotein subunit,1845
BINCMBPP_01061,sdhB,Succinate dehydrogenase iron-sulfur subunit,780
BINCMBPP_01062,,Type IV secretion system protein VirB11,1062
BINCMBPP_01063,,hypothetical protein,1140
BINCMBPP_01064,virB9_1,Type IV secretion system protein virB9,807
BINCMBPP_01065,virB8_1,Type IV secretion system protein virB8,702
BINCMBPP_01066,,hypothetical protein,774
BINCMBPP_01067,,hypothetical protein,237
BINCMBPP_01068,,hypothetical protein,138
BINCMBPP_01069,,hypothetical protein,105
BINCMBPP_01070,,hypothetical protein,1836
BINCMBPP_01071,,hypothetical protein,1170
BINCMBPP_01072,,Nitronate monooxygenase,1065
BINCMBPP_01073,,hypothetical protein,354
BINCMBPP_01074,,hypothetical protein,279
BINCMBPP_01075,,hypothetical protein,2352
BINCMBPP_01076,,hypothetical protein,444
BINCMBPP_01078,cpdR,Response regulator receiver protein CpdR,363
BINCMBPP_01079,,hypothetical protein,918
BINCMBPP_01080,ibpA_2,Small heat shock protein IbpA,468
BINCMBPP_01082,iscA,Iron-binding protein IscA,375
BINCMBPP_01083,mazG,Nucleoside triphosphate pyrophosphohydrolase,816
BINCMBPP_01084,lpxL,Lipid A biosynthesis lauroyltransferase,930
BINCMBPP_01085,tdh,L-threonine 3-dehydrogenase,1029
BINCMBPP_01086,fabF_2,3-oxoacyl-[acyl-carrier-protein] synthase 2,1275
BINCMBPP_01087,,hypothetical protein,1176
BINCMBPP_01088,acpXL,Acyl carrier protein AcpXL,285
BINCMBPP_01089,dme,NAD-dependent malic enzyme,2319
BINCMBPP_01090,,hypothetical protein,4560
BINCMBPP_01091,hfq,RNA-binding protein Hfq,240
BINCMBPP_01092,hflX,GTPase HflX,1344
BINCMBPP_01093,,hypothetical protein,1827
BINCMBPP_01094,ctaA,Heme A synthase,1092
BINCMBPP_01095,argC,N-acetyl-gamma-glutamyl-phosphate reductase,933
BINCMBPP_01096,glyA,Serine hydroxymethyltransferase,1314
BINCMBPP_01097,nrdR,Transcriptional repressor NrdR,483
BINCMBPP_01098,ribD,Riboflavin biosynthesis protein RibD,1128
BINCMBPP_01099,ribE,Riboflavin synthase,618
BINCMBPP_01100,ribH1,"6,7-dimethyl-8-ribityllumazine synthase 1",456
BINCMBPP_01101,nusB,Transcription antitermination protein NusB,471
BINCMBPP_01102,bamE,Outer membrane protein assembly factor BamE,480
BINCMBPP_01103,,hypothetical protein,558
BINCMBPP_01104,plsX,Phosphate acyltransferase,1071
BINCMBPP_01105,fabH,3-oxoacyl-[acyl-carrier-protein] synthase 3,975
BINCMBPP_01106,ihfA,Integration host factor subunit alpha,324
BINCMBPP_01107,,hypothetical protein,504
BINCMBPP_01108,thrS,Threonine--tRNA ligase,1977
BINCMBPP_01109,yidD,Putative membrane protein insertion efficiency factor,351
BINCMBPP_01110,,hypothetical protein,438
BINCMBPP_01111,folE,GTP cyclohydrolase 1,624
BINCMBPP_01113,intA_2,Prophage integrase IntA,1173
BINCMBPP_01114,,hypothetical protein,276
BINCMBPP_01115,,hypothetical protein,495
BINCMBPP_01116,,hypothetical protein,636
BINCMBPP_01117,,hypothetical protein,807
BINCMBPP_01118,,hypothetical protein,411
BINCMBPP_01119,atpF_1,ATP synthase subunit b,495
BINCMBPP_01120,atpF_2,ATP synthase subunit b,567
BINCMBPP_01121,atpE,ATP synthase subunit c,231
BINCMBPP_01122,atpB,ATP synthase subunit a,786
BINCMBPP_01123,,hypothetical protein,435
BINCMBPP_01124,der,GTPase Der,1425
BINCMBPP_01125,,hypothetical protein,672
BINCMBPP_01126,,hypothetical protein,1773
BINCMBPP_01127,,hypothetical protein,1707
BINCMBPP_01128,nhaA,Na(+)/H(+) antiporter NhaA,1362
BINCMBPP_01129,tmk_2,Thymidylate kinase,387
BINCMBPP_01130,,hypothetical protein,105
BINCMBPP_01131,,Aspartate kinase,1257
BINCMBPP_01132,ubiG,Ubiquinone biosynthesis O-methyltransferase,744
BINCMBPP_01133,grxC,Glutaredoxin 3,246
BINCMBPP_01134,,hypothetical protein,789
BINCMBPP_01135,,hypothetical protein,879
BINCMBPP_01136,tcyP,L-cystine uptake protein TcyP,1356
BINCMBPP_01137,,hypothetical protein,201
BINCMBPP_01138,egtA,Glutamate--cysteine ligase EgtA,1374
BINCMBPP_01139,rsmE,Ribosomal RNA small subunit methyltransferase E,744
BINCMBPP_01140,,hypothetical protein,144
BINCMBPP_01141,,hypothetical protein,1881
BINCMBPP_01142,folD,Bifunctional protein FolD protein,900
BINCMBPP_01143,edd,Phosphogluconate dehydratase,1824
BINCMBPP_01144,pgl,6-phosphogluconolactonase,753
BINCMBPP_01145,zwf,Glucose-6-phosphate 1-dehydrogenase,1476
BINCMBPP_01146,puuB,Gamma-glutamylputrescine oxidoreductase,1284
BINCMBPP_01147,puuA,Gamma-glutamylputrescine synthetase PuuA,1428
BINCMBPP_01148,lysA_2,Diaminopimelate decarboxylase,1770
BINCMBPP_01149,,hypothetical protein,606
BINCMBPP_01150,,hypothetical protein,1251
BINCMBPP_01151,,hypothetical protein,123
BINCMBPP_01152,,hypothetical protein,222
BINCMBPP_01153,,hypothetical protein,117
BINCMBPP_01154,,hypothetical protein,279
BINCMBPP_01155,,hypothetical protein,186
BINCMBPP_01156,,hypothetical protein,3204
BINCMBPP_01157,alr,"Alanine racemase, biosynthetic",1116
BINCMBPP_01158,gcvP,Glycine dehydrogenase (decarboxylating),2805
BINCMBPP_01159,gcvH,Glycine cleavage system H protein,369
BINCMBPP_01160,gcvT,Aminomethyltransferase,1113
BINCMBPP_01162,lon2,Lon protease 2,663
BINCMBPP_01163,,hypothetical protein,207
BINCMBPP_01164,,hypothetical protein,312
BINCMBPP_01165,asd2,Aspartate-semialdehyde dehydrogenase 2,1032
BINCMBPP_01166,,hypothetical protein,648
BINCMBPP_01167,metQ,D-methionine-binding lipoprotein MetQ,825
BINCMBPP_01168,metN,Methionine import ATP-binding protein MetN,1035
BINCMBPP_01169,metP,Methionine import system permease protein MetP,660
BINCMBPP_01170,,putative enoyl-CoA hydratase 1,480
BINCMBPP_01171,,hypothetical protein,1332
BINCMBPP_01172,,hypothetical protein,486
BINCMBPP_01173,,hypothetical protein,345
BINCMBPP_01174,,hypothetical protein,153
BINCMBPP_01175,,hypothetical protein,297
BINCMBPP_01176,mftE,Putative mycofactocin system creatinine amidohydrolase family protein MftE,744
BINCMBPP_01177,yjiA_2,P-loop guanosine triphosphatase YjiA,1032
BINCMBPP_01178,,hypothetical protein,978
BINCMBPP_01179,,hypothetical protein,111
BINCMBPP_01180,,hypothetical protein,132
BINCMBPP_01181,,hypothetical protein,3324
BINCMBPP_01182,,hypothetical protein,159
BINCMBPP_01183,,hypothetical protein,417
BINCMBPP_01184,,hypothetical protein,183
BINCMBPP_01185,,hypothetical protein,204
BINCMBPP_01186,,hypothetical protein,969
BINCMBPP_01187,nfuA,Fe/S biogenesis protein NfuA,579
BINCMBPP_01188,,hypothetical protein,492
BINCMBPP_01189,trpS,Tryptophan--tRNA ligase,1071
BINCMBPP_01190,murJ,putative lipid II flippase MurJ,1572
BINCMBPP_01191,,hypothetical protein,2424
BINCMBPP_01192,,hypothetical protein,1848
BINCMBPP_01193,,hypothetical protein,1302
BINCMBPP_01194,,hypothetical protein,858
BINCMBPP_01195,,hypothetical protein,1170
BINCMBPP_01196,bepA_3,Protein adenylyltransferase,1599
BINCMBPP_01197,,hypothetical protein,243
BINCMBPP_01198,,hypothetical protein,1917
BINCMBPP_01199,bepA_4,Protein adenylyltransferase,1635
BINCMBPP_01200,,hypothetical protein,174
BINCMBPP_01201,,Type IV secretion system protein VirB11,1071
BINCMBPP_01202,,Type IV secretion system protein virB10,1179
BINCMBPP_01203,virB9_2,Type IV secretion system protein virB9,867
BINCMBPP_01204,virB8_2,Type IV secretion system protein virB8,669
BINCMBPP_01205,,hypothetical protein,315
BINCMBPP_01206,virB6_1,Type IV secretion system protein VirB6,999
BINCMBPP_01207,,hypothetical protein,540
BINCMBPP_01208,virB4_2,Type IV secretion system protein virB4,2373
BINCMBPP_01209,virB3_2,Type IV secretion system protein virB3,309
BINCMBPP_01210,virB2,Type IV secretion system protein virB2,321
BINCMBPP_01211,,hypothetical protein,726
BINCMBPP_01212,,hypothetical protein,891
BINCMBPP_01214,,hypothetical protein,606
BINCMBPP_01215,dsbB_1,Disulfide bond formation protein B,570
BINCMBPP_01216,,hypothetical protein,216
BINCMBPP_01217,,hypothetical protein,642
BINCMBPP_01218,,hypothetical protein,810
BINCMBPP_01219,dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,540
BINCMBPP_01220,,hypothetical protein,285
BINCMBPP_01221,tolR,Tol-Pal system protein TolR,591
BINCMBPP_01222,exbB,Biopolymer transport protein ExbB,876
BINCMBPP_01223,,hypothetical protein,339
BINCMBPP_01224,,hypothetical protein,453
BINCMBPP_01225,,hypothetical protein,732
BINCMBPP_01226,,hypothetical protein,348
BINCMBPP_01227,virB3_3,Type IV secretion system protein virB3,327
BINCMBPP_01228,virB4_3,Type IV secretion system protein virB4,2361
BINCMBPP_01229,,hypothetical protein,756
BINCMBPP_01230,,hypothetical protein,291
BINCMBPP_01231,,hypothetical protein,306
BINCMBPP_01232,,hypothetical protein,381
BINCMBPP_01233,,hypothetical protein,300
BINCMBPP_01234,,hypothetical protein,366
BINCMBPP_01235,,hypothetical protein,429
BINCMBPP_01236,,hypothetical protein,771
BINCMBPP_01237,,hypothetical protein,444
BINCMBPP_01238,,hypothetical protein,444
BINCMBPP_01239,,hypothetical protein,201
BINCMBPP_01240,,hypothetical protein,1005
BINCMBPP_01241,,hypothetical protein,1140
BINCMBPP_01242,,hypothetical protein,492
BINCMBPP_01243,,hypothetical protein,1464
BINCMBPP_01244,,hypothetical protein,162
BINCMBPP_01245,,hypothetical protein,696
BINCMBPP_01246,,hypothetical protein,1119
BINCMBPP_01247,,hypothetical protein,774
BINCMBPP_01248,,hypothetical protein,1851
BINCMBPP_01249,,hypothetical protein,1362
BINCMBPP_01250,,hypothetical protein,315
BINCMBPP_01252,yclP,Petrobactin import ATP-binding protein YclP,759
BINCMBPP_01253,yclO,Petrobactin import system permease protein YclO,951
BINCMBPP_01254,yclN,Petrobactin import system permease protein YclN,957
BINCMBPP_01255,yclQ,Petrobactin-binding protein YclQ,951
BINCMBPP_01256,,hypothetical protein,5721
BINCMBPP_01257,,hypothetical protein,3276
BINCMBPP_01258,,hypothetical protein,120
BINCMBPP_01259,,hypothetical protein,2877
BINCMBPP_01260,cpoB,Cell division coordinator CpoB,825
BINCMBPP_01261,tilS,tRNA(Ile)-lysidine synthase,1479
BINCMBPP_01262,ftsH,ATP-dependent zinc metalloprotease FtsH,2172
BINCMBPP_01263,glmM,Phosphoglucosamine mutase,1371
BINCMBPP_01264,higA,Antitoxin HigA,249
BINCMBPP_01265,,Antitoxin VbhA,189
BINCMBPP_01266,vbhT,Protein adenylyltransferase VbhT,1524
BINCMBPP_01267,,hypothetical protein,222
BINCMBPP_01268,,Type IV secretion system protein VirB11,1053
BINCMBPP_01269,,Type IV secretion system protein virB10,1182
BINCMBPP_01270,virB9_3,Type IV secretion system protein virB9,852
BINCMBPP_01271,virB8_3,Type IV secretion system protein virB8,672
BINCMBPP_01272,,hypothetical protein,291
BINCMBPP_01273,virB6_2,Type IV secretion system protein VirB6,897
BINCMBPP_01274,,hypothetical protein,132
BINCMBPP_01275,,hypothetical protein,162
BINCMBPP_01276,,hypothetical protein,201
BINCMBPP_01277,,hypothetical protein,237
BINCMBPP_01278,,hypothetical protein,675
BINCMBPP_01279,,hypothetical protein,183
BINCMBPP_01280,,hypothetical protein,156
BINCMBPP_01281,yopJ_1,Effector protein YopJ,423
BINCMBPP_01282,,hypothetical protein,111
BINCMBPP_01283,yopJ_2,Effector protein YopJ,957
BINCMBPP_01284,,hypothetical protein,582
BINCMBPP_01285,,hypothetical protein,177
BINCMBPP_01286,,hypothetical protein,492
BINCMBPP_01287,,hypothetical protein,546
BINCMBPP_01288,,hypothetical protein,567
BINCMBPP_01289,,hypothetical protein,198
BINCMBPP_01290,,hypothetical protein,195
BINCMBPP_01291,,hypothetical protein,381
BINCMBPP_01292,,hypothetical protein,363
BINCMBPP_01293,,hypothetical protein,1152
BINCMBPP_01294,,hypothetical protein,288
BINCMBPP_01295,,hypothetical protein,579
BINCMBPP_01296,,hypothetical protein,177
BINCMBPP_01297,,hypothetical protein,3369
BINCMBPP_01298,,hypothetical protein,1860
BINCMBPP_01299,,hypothetical protein,2334
BINCMBPP_01300,,hypothetical protein,2478
BINCMBPP_01301,,hypothetical protein,306
BINCMBPP_01302,,hypothetical protein,225
BINCMBPP_01303,,hypothetical protein,333
BINCMBPP_01304,clpB,Chaperone protein ClpB,2580
BINCMBPP_01305,,hypothetical protein,138
BINCMBPP_01306,,hypothetical protein,1224
BINCMBPP_01307,,hypothetical protein,1098
BINCMBPP_01308,,hypothetical protein,390
BINCMBPP_01309,,hypothetical protein,618
BINCMBPP_01310,,hypothetical protein,261
BINCMBPP_01311,,hypothetical protein,846
BINCMBPP_01312,ribF,Bifunctional riboflavin kinase/FMN adenylyltransferase,1017
BINCMBPP_01313,blh,Beta-lactamase hydrolase-like protein,330
BINCMBPP_01314,soj,Sporulation initiation inhibitor protein Soj,627
BINCMBPP_01315,,hypothetical protein,228
BINCMBPP_01316,,hypothetical protein,273
BINCMBPP_01317,,hypothetical protein,276
BINCMBPP_01318,,hypothetical protein,276
BINCMBPP_01319,,hypothetical protein,219
BINCMBPP_01320,,hypothetical protein,105
BINCMBPP_01321,,hypothetical protein,405
BINCMBPP_01322,,hypothetical protein,4275
BINCMBPP_01323,,hypothetical protein,126
BINCMBPP_01324,,hypothetical protein,933
BINCMBPP_01325,,hypothetical protein,741
BINCMBPP_01326,,hypothetical protein,273
BINCMBPP_01327,,hypothetical protein,219
BINCMBPP_01328,,hypothetical protein,420
BINCMBPP_01329,,hypothetical protein,2334
BINCMBPP_01330,,hypothetical protein,414
BINCMBPP_01331,,hypothetical protein,519
BINCMBPP_01332,,hypothetical protein,717
BINCMBPP_01333,,hypothetical protein,354
BINCMBPP_01334,,hypothetical protein,288
BINCMBPP_01335,,hypothetical protein,282
BINCMBPP_01336,,hypothetical protein,252
BINCMBPP_01337,,hypothetical protein,1785
BINCMBPP_01338,moaA,"GTP 3',8-cyclase",813
BINCMBPP_01339,,hypothetical protein,213
BINCMBPP_01340,,hypothetical protein,615
BINCMBPP_01341,,hypothetical protein,336
BINCMBPP_01342,pgm,Phosphoglucomutase,1629
BINCMBPP_01343,,Peroxiredoxin,525
BINCMBPP_01344,hisS,Histidine--tRNA ligase,1488
BINCMBPP_01345,,hypothetical protein,291
BINCMBPP_01346,,hypothetical protein,144
BINCMBPP_01347,pyrF,Orotidine 5'-phosphate decarboxylase,846
BINCMBPP_01348,,hypothetical protein,1077
BINCMBPP_01349,,hypothetical protein,210
BINCMBPP_01350,,hypothetical protein,930
BINCMBPP_01353,ldc,Lysine/ornithine decarboxylase,1134
BINCMBPP_01354,,hypothetical protein,579
BINCMBPP_01355,emrB,Colistin resistance protein EmrB,1572
BINCMBPP_01356,emrA_2,Colistin resistance protein EmrA,1077
BINCMBPP_01357,zur,Zinc uptake regulation protein,393
BINCMBPP_01358,,hypothetical protein,1044
BINCMBPP_01359,,hypothetical protein,198
BINCMBPP_01360,,hypothetical protein,198
BINCMBPP_01361,,hypothetical protein,369
BINCMBPP_01362,,hypothetical protein,189
BINCMBPP_01363,relE2,Toxin RelE2,288
BINCMBPP_01364,,hypothetical protein,402
BINCMBPP_01365,thiE_2,Thiamine-phosphate synthase,663
BINCMBPP_01366,,hypothetical protein,1143
BINCMBPP_01367,,hypothetical protein,135
BINCMBPP_01368,,hypothetical protein,162
BINCMBPP_01369,,hypothetical protein,1017
BINCMBPP_01370,phyR,Phyllosphere-induced regulator PhyR,795
BINCMBPP_01371,,hypothetical protein,204
BINCMBPP_01372,ecfG,ECF RNA polymerase sigma factor EcfG,555
BINCMBPP_01373,,hypothetical protein,1422
BINCMBPP_01374,,hypothetical protein,1980
BINCMBPP_01375,,hypothetical protein,603
BINCMBPP_01376,leuB,3-isopropylmalate dehydrogenase,2175
BINCMBPP_01377,,hypothetical protein,207
BINCMBPP_01378,ymdB,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",822
BINCMBPP_01379,,5-formyltetrahydrofolate cyclo-ligase,606
BINCMBPP_01381,exbD,Biopolymer transport protein ExbD,453
BINCMBPP_01382,tolQ,Tol-Pal system protein TolQ,714
BINCMBPP_01383,,hypothetical protein,294
BINCMBPP_01384,ybgC,Acyl-CoA thioesterase YbgC,441
BINCMBPP_01385,ruvB_1,Holliday junction ATP-dependent DNA helicase RuvB,1092
BINCMBPP_01386,ruvA,Holliday junction ATP-dependent DNA helicase RuvA,615
BINCMBPP_01387,ruvC,Crossover junction endodeoxyribonuclease RuvC,675
BINCMBPP_01388,,hypothetical protein,768
BINCMBPP_01389,,hypothetical protein,540
BINCMBPP_01390,,hypothetical protein,222
BINCMBPP_01391,,hypothetical protein,1110
BINCMBPP_01392,,hypothetical protein,1014
BINCMBPP_01393,,hypothetical protein,1002
BINCMBPP_01394,,hypothetical protein,579
BINCMBPP_01395,,hypothetical protein,792
BINCMBPP_01396,,hypothetical protein,1188
BINCMBPP_01397,,hypothetical protein,495
BINCMBPP_01398,,hypothetical protein,351
BINCMBPP_01399,,hypothetical protein,465
BINCMBPP_01400,badA,Autotransporter adhesin BadA,3198
BINCMBPP_01401,purE,N5-carboxyaminoimidazole ribonucleotide mutase,495
BINCMBPP_01402,,hypothetical protein,153
BINCMBPP_01403,dsbB_2,Disulfide bond formation protein B,582
BINCMBPP_01404,infA,Translation initiation factor IF-1,219
BINCMBPP_01405,yhdE,dTTP/UTP pyrophosphatase,789
BINCMBPP_01406,yacG,DNA gyrase inhibitor YacG,285
BINCMBPP_01407,,hypothetical protein,159
BINCMBPP_01408,,hypothetical protein,324
BINCMBPP_01409,,hypothetical protein,1155
BINCMBPP_01410,,hypothetical protein,369
BINCMBPP_01411,,hypothetical protein,570
BINCMBPP_01412,,hypothetical protein,558
BINCMBPP_01413,,hypothetical protein,141
BINCMBPP_01414,,hypothetical protein,642
BINCMBPP_01415,tolB,Tol-Pal system protein TolB,1326
BINCMBPP_01416,,putative transcriptional regulatory protein,747
BINCMBPP_01417,,hypothetical protein,696
BINCMBPP_01418,pal,Peptidoglycan-associated lipoprotein,522
BINCMBPP_01419,purK,N5-carboxyaminoimidazole ribonucleotide synthase,1083
BINCMBPP_01420,,hypothetical protein,210
BINCMBPP_01421,,hypothetical protein,378
BINCMBPP_01422,,hypothetical protein,174
BINCMBPP_01423,,hypothetical protein,783
BINCMBPP_01424,,hypothetical protein,1218
BINCMBPP_01425,,hypothetical protein,693
BINCMBPP_01426,,hypothetical protein,588
BINCMBPP_01427,,hypothetical protein,582
BINCMBPP_01432,,hypothetical protein,156
BINCMBPP_01433,,hypothetical protein,1080
BINCMBPP_01434,,hypothetical protein,186
BINCMBPP_01435,,hypothetical protein,279
BINCMBPP_01436,,hypothetical protein,390
BINCMBPP_01437,,hypothetical protein,189
BINCMBPP_01438,,hypothetical protein,432
BINCMBPP_01439,,hypothetical protein,801
BINCMBPP_01440,,hypothetical protein,1464
BINCMBPP_01441,suhB,Inositol-1-monophosphatase,792
BINCMBPP_01442,efp,Elongation factor P,576
BINCMBPP_01443,,hypothetical protein,489
BINCMBPP_01444,,hypothetical protein,720
BINCMBPP_01446,,hypothetical protein,153
BINCMBPP_01447,,hypothetical protein,381
BINCMBPP_01448,groL,60 kDa chaperonin,1644
BINCMBPP_01449,groS1,10 kDa chaperonin 1,297
BINCMBPP_01450,,hypothetical protein,186
BINCMBPP_01451,,hypothetical protein,261
BINCMBPP_01452,,hypothetical protein,2685
BINCMBPP_01453,,hypothetical protein,330
BINCMBPP_01454,,hypothetical protein,369
BINCMBPP_01455,,hypothetical protein,195
BINCMBPP_01456,,hypothetical protein,471
BINCMBPP_01457,,hypothetical protein,1167
BINCMBPP_01458,,hypothetical protein,447
BINCMBPP_01459,,hypothetical protein,1125
BINCMBPP_01460,,hypothetical protein,381
BINCMBPP_01461,,hypothetical protein,285
BINCMBPP_01462,,hypothetical protein,339
BINCMBPP_01463,,hypothetical protein,708
BINCMBPP_01464,,hypothetical protein,2610
BINCMBPP_01465,,hypothetical protein,765
BINCMBPP_01466,,hypothetical protein,2148
BINCMBPP_01467,,hypothetical protein,582
BINCMBPP_01468,,hypothetical protein,2064
BINCMBPP_01469,,hypothetical protein,675
BINCMBPP_01470,,hypothetical protein,618
BINCMBPP_01472,rpmE,50S ribosomal protein L31,222
BINCMBPP_01477,,hypothetical protein,774
BINCMBPP_01478,,hypothetical protein,471
BINCMBPP_01479,,hypothetical protein,345
BINCMBPP_01480,,hypothetical protein,222
BINCMBPP_01481,,hypothetical protein,336
BINCMBPP_01482,,hypothetical protein,1329
BINCMBPP_01483,lpxD_3,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,1161
BINCMBPP_01484,,hypothetical protein,663
BINCMBPP_01485,,hypothetical protein,1584
BINCMBPP_01486,,hypothetical protein,141
BINCMBPP_01487,,hypothetical protein,414
BINCMBPP_01488,mdtK,Multidrug resistance protein MdtK,1344
BINCMBPP_01489,,hypothetical protein,222
BINCMBPP_01490,,hypothetical protein,477
BINCMBPP_01491,,hypothetical protein,1422
BINCMBPP_01492,entS_1,Enterobactin exporter EntS,1221
BINCMBPP_01493,,hypothetical protein,186
BINCMBPP_01494,,hypothetical protein,168
BINCMBPP_01495,,hypothetical protein,519
BINCMBPP_01496,,hypothetical protein,321
BINCMBPP_01497,pbuE,Purine efflux pump PbuE,1119
BINCMBPP_01498,,hypothetical protein,336
BINCMBPP_01499,,hypothetical protein,126
BINCMBPP_01501,pyrD,Dihydroorotate dehydrogenase (quinone),1083
BINCMBPP_01502,,hypothetical protein,291
BINCMBPP_01503,mscL,Large-conductance mechanosensitive channel,411
BINCMBPP_01504,rcsC_4,Sensor histidine kinase RcsC,1701
BINCMBPP_01505,,hypothetical protein,2586
BINCMBPP_01506,ald,3-succinoylsemialdehyde-pyridine dehydrogenase,1431
BINCMBPP_01507,rluD,Ribosomal large subunit pseudouridine synthase D,1005
BINCMBPP_01508,rpoH_2,RNA polymerase sigma factor RpoH,885
BINCMBPP_01509,,hypothetical protein,1497
BINCMBPP_01510,purA,Adenylosuccinate synthetase,1290
BINCMBPP_01511,serC,Phosphoserine aminotransferase,1164
BINCMBPP_01513,,hypothetical protein,309
BINCMBPP_01514,bioY_1,Biotin transporter BioY,555
BINCMBPP_01515,bioY_2,Biotin transporter BioY,555
BINCMBPP_01516,ecfT,Energy-coupling factor transporter transmembrane protein EcfT,639
BINCMBPP_01517,bioM,Biotin transport ATP-binding protein BioM,681
BINCMBPP_01518,aroP,Aromatic amino acid transport protein AroP,1428
BINCMBPP_01519,,hypothetical protein,339
BINCMBPP_01521,,hypothetical protein,663
BINCMBPP_01522,,hypothetical protein,228
BINCMBPP_01523,lldD,L-lactate dehydrogenase,1161
BINCMBPP_01524,dcd,"dCTP deaminase, dUMP-forming",1089
BINCMBPP_01525,mutL,DNA mismatch repair protein MutL,1851
BINCMBPP_01526,,hypothetical protein,237
BINCMBPP_01527,lpxK,Tetraacyldisaccharide 4'-kinase,1041
BINCMBPP_01528,waaA,3-deoxy-D-manno-octulosonic acid transferase,1323
BINCMBPP_01529,,hypothetical protein,234
BINCMBPP_01530,,hypothetical protein,246
BINCMBPP_01531,cysQ,"3'(2'),5'-bisphosphate nucleotidase CysQ",804
BINCMBPP_01532,pmbA,Metalloprotease PmbA,1332
BINCMBPP_01533,,hypothetical protein,447
BINCMBPP_01534,rsmD,Ribosomal RNA small subunit methyltransferase D,567
BINCMBPP_01535,,hypothetical protein,1401
BINCMBPP_01536,tadA,tRNA-specific adenosine deaminase,447
BINCMBPP_01537,,hypothetical protein,471
BINCMBPP_01538,ileS,Isoleucine--tRNA ligase,2916
BINCMBPP_01539,,hypothetical protein,1440
BINCMBPP_01540,,hypothetical protein,147
BINCMBPP_01541,,hypothetical protein,387
BINCMBPP_01542,shlB,Hemolysin transporter protein ShlB,393
BINCMBPP_01543,,hypothetical protein,885
BINCMBPP_01544,,hypothetical protein,843
BINCMBPP_01545,,hypothetical protein,846
BINCMBPP_01546,,hypothetical protein,330
BINCMBPP_01547,rnd_2,Ribonuclease D,621
BINCMBPP_01548,dapE_2,Succinyl-diaminopimelate desuccinylase,1395
BINCMBPP_01549,mutM,Formamidopyrimidine-DNA glycosylase,876
BINCMBPP_01550,,Aminopeptidase T,1248
BINCMBPP_01551,,hypothetical protein,837
BINCMBPP_01552,phoU,Phosphate-specific transport system accessory protein PhoU,723
BINCMBPP_01553,pstB,Phosphate import ATP-binding protein PstB,759
BINCMBPP_01554,,hypothetical protein,1290
BINCMBPP_01555,,hypothetical protein,1461
BINCMBPP_01556,pstS,Phosphate-binding protein PstS,1047
BINCMBPP_01557,gshB,Glutathione synthetase,939
BINCMBPP_01558,moeZ,putative adenylyltransferase/sulfurtransferase MoeZ,774
BINCMBPP_01559,,hypothetical protein,564
BINCMBPP_01560,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,732
BINCMBPP_01561,pheA,Bifunctional chorismate mutase/prephenate dehydratase,864
BINCMBPP_01562,,hypothetical protein,405
BINCMBPP_01564,ruvB_2,Holliday junction ATP-dependent DNA helicase RuvB,1941
BINCMBPP_01565,ybaB,Nucleoid-associated protein YbaB,324
BINCMBPP_01566,recR,Recombination protein RecR,624
BINCMBPP_01567,,hypothetical protein,1029
BINCMBPP_01568,OSGEPL1,"tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",693
BINCMBPP_01569,rimI,[Ribosomal protein S18]-alanine N-acetyltransferase,486
BINCMBPP_01570,miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,1377
BINCMBPP_01571,,PhoH-like protein,1158
BINCMBPP_01572,ybeY,Endoribonuclease YbeY,492
BINCMBPP_01573,corC,Magnesium and cobalt efflux protein CorC,1026
BINCMBPP_01574,lnt,Apolipoprotein N-acyltransferase,1617
BINCMBPP_01575,,hypothetical protein,414
BINCMBPP_01576,metK,S-adenosylmethionine synthase,1269
BINCMBPP_01577,trmB,tRNA (guanine-N(7)-)-methyltransferase,753
